'Country', 'Code', 'Latitude', 'Area', '2018 Gold', '2018 Silver', '2018 Bronze', '2016 Gold', '2016 Silver', '2016 Bronze', '2014 Gold', '2014 Silver', '2014 Bronze', '2012 Gold', '2012 Silver', '2012 Bronze', '2010 Gold', '2010 Silver', '2010 Bronze', '2008 Gold', '2008 Silver', '2008 Bronze', '2006 Gold', '2006 Silver', '2006 Bronze', '2004 Gold', '2004 Silver', '2004 Bronze', '2002 Gold', '2002 Silver', '2002 Bronze', '2000 Gold', '2000 Silver', '2000 Bronze', '1998 Gold', '1998 Silver', '1998 Bronze', '1996 Gold', '1996 Silver', '1996 Bronze', '1994 Gold', '1994 Silver', '1994 Bronze', '1992W Gold', '1992W Silver', '1992W Bronze', '1992 Gold', '1992 Silver', '1992 Bronze', '1988W Gold', '1988W Silver', '1988W Bronze', '1988 Gold', '1988 Silver', '1988 Bronze', '1984W Gold', '1984W Silver', '1984W Bronze', '1984 Gold', '1984 Silver', '1984 Bronze', '1980W Gold', '1980W Silver', '1980W Bronze', '1980 Gold', '1980 Silver', '1980 Bronze', '1976W Gold', '1976W Silver', '1976W Bronze', '1976 Gold', '1976 Silver', '1976 Bronze', '1972W Gold', '1972W Silver', '1972W Bronze', '1972 Gold', '1972 Silver', '1972 Bronze', '1968W Gold', '1968W Silver', '1968W Bronze', '1968 Gold', '1968 Silver', '1968 Bronze', '1964W Gold', '1964W Silver', '1964W Bronze', '1964 Gold', '1964 Silver', '1964 Bronze', '1960W Gold', '1960W Silver', '1960W Bronze', '1960 Gold', '1960 Silver', '1960 Bronze', '1956W Gold', '1956W Silver', '1956W Bronze', '1956 Gold', '1956 Silver', '1956 Bronze', '1952W Gold', '1952W Silver', '1952W Bronze', '1952 Gold', '1952 Silver', '1952 Bronze', '1948W Gold', '1948W Silver', '1948W Bronze', '1948 Gold', '1948 Silver', '1948 Bronze', '1936W Gold', '1936W Silver', '1936W Bronze', '1936 Gold', '1936 Silver', '1936 Bronze', '1932W Gold', '1932W Silver', '1932W Bronze', '1932 Gold', '1932 Silver', '1932 Bronze', '1928W Gold', '1928W Silver', '1928W Bronze', '1928 Gold', '1928 Silver', '1928 Bronze', '1924W Gold', '1924W Silver', '1924W Bronze', '1924 Gold', '1924 Silver', '1924 Bronze', '1920 Gold', '1920 Silver', '1920 Bronze', '1912 Gold', '1912 Silver', '1912 Bronze', '1908 Gold', '1908 Silver', '1908 Bronze', '1904 Gold', '1904 Silver', '1904 Bronze', '1900 Gold', '1900 Silver', '1900 Bronze', '1896 Gold', '1896 Silver', '1896 Bronze', 'Gold', 'Silver', 'Bronze', 'Gold', 'Silver', 'Bronze', 'Gold', 'Silver', 'Bronze'
'', '', '', '', 'w', 'w', 'w', '307', '307', '360', 'w', 'w', 'w', '302', '303', '356', 'w', 'w', 'w', '2008', '2008', '2008', 'w', 'w', 'w', '2004', '2004', '2004', 'w', 'w', 'w', '2000', '2000', '2000', 'w', 'w', 'w', '1996', '1996', '1996', 'w', 'w', 'w', 'w', 'w', 'w', '1992', '1992', '1992', 'w', 'w', 'w', '1988', '1988', '1988', 'w', 'w', 'w', '1984', '1984', '1984', 'w', 'w', 'w', '1980', '1980', '1980', 'w', 'w', 'w', '1976', '1976', '1976', 'w', 'w', 'w', '1972', '1972', '1972', 'w', 'w', 'w', '1968', '1968', '1968', 'w', 'w', 'w', '1964', '1964', '1964', 'w', 'w', 'w', '1960', '1960', '1960', 'w', 'w', 'w', '1956', '1956', '1956', 'w', 'w', 'w', '1952', '1952', '1952', 'w', 'w', 'w', '1948', '1948', '1948', 'w', 'w', 'w', '1936', '1936', '1936', 'w', 'w', 'w', '1932', '1932', '1932', 'w', 'w', 'w', '1928', '1928', '1928', 'w', 'w', 'w', '1924', '1924', '1924', '1920', '1920', '1920', '1912', '1912', '1912', '1908', '1908', '1908', '1904', '1904', '1904', '1900', '1900', '1900', '1896', '1896', '1896', 'summer', 'summer', 'summer', 'winter', 'winter', 'winter', 'all', 'all', 'all'
'Norway', 'NOR', '59.55', '324220', '14', '14', '11', '0', '0', '4', '11', '5', '10', '2', '1', '1', '9', '8', '6', '3', '5', '2', '2', '8', '9', '5', '0', '1', '13', '5', '7', '4', '3', '3', '10', '10', '5', '2', '2', '3', '10', '11', '5', '9', '6', '5', '2', '4', '1', '0', '3', '2', '2', '3', '0', '3', '2', '4', '0', '1', '2', '1', '3', '6', '0', '0', '0', '3', '3', '1', '1', '1', '0', '2', '5', '5', '2', '1', '1', '6', '6', '2', '1', '1', '0', '3', '6', '6', '0', '0', '0', '3', '3', '0', '1', '0', '0', '2', '1', '1', '1', '0', '2', '7', '3', '6', '3', '2', '0', '4', '3', '3', '1', '3', '3', '7', '5', '3', '1', '3', '2', '3', '4', '3', '0', '0', '0', '6', '4', '5', '1', '2', '1', '4', '7', '6', '5', '2', '3', '13', '9', '9', '4', '1', '4', '2', '3', '3', '0', '0', '0', '0', '2', '3', '0', '0', '0', '56', '49', '48', '132', '125', '111', '188', '174', '159'
'Canada', 'CAN', '45.27', '9984670', '11', '8', '10', '4', '3', '15', '10', '10', '5', '1', '5', '12', '14', '7', '5', '3', '9', '6', '7', '10', '7', '3', '6', '3', '7', '3', '7', '3', '3', '8', '6', '5', '4', '3', '11', '8', '3', '6', '4', '2', '3', '2', '7', '4', '7', '0', '2', '3', '3', '2', '5', '2', '1', '1', '10', '18', '16', '0', '1', '1', '0', '0', '0', '1', '1', '1', '0', '5', '6', '0', '1', '0', '0', '2', '3', '1', '1', '1', '1', '3', '1', '1', '1', '1', '1', '2', '1', '2', '1', '1', '0', '1', '0', '0', '1', '2', '2', '1', '3', '1', '0', '1', '1', '2', '0', '2', '0', '1', '0', '1', '2', '0', '1', '0', '1', '3', '5', '1', '1', '5', '2', '5', '8', '1', '0', '0', '4', '4', '7', '1', '0', '0', '0', '3', '1', '3', '3', '3', '3', '2', '3', '3', '3', '10', '4', '1', '1', '1', '0', '1', '0', '0', '0', '63', '102', '135', '73', '64', '62', '136', '166', '197'
'Germany', 'GER', '52.30', '357021', '14', '10', '7', '17', '10', '15', '8', '6', '5', '11', '19', '14', '10', '13', '7', '16', '10', '15', '11', '12', '6', '13', '16', '20', '12', '16', '8', '13', '17', '26', '12', '9', '8', '20', '18', '27', '9', '7', '8', '10', '10', '6', '33', '21', '28', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '3', '10', '22', '18', '4', '3', '1', '12', '19', '11', '1', '0', '1', '6', '13', '7', '3', '2', '2', '0', '7', '17', '0', '0', '0', '0', '0', '0', '3', '3', '0', '33', '26', '30', '0', '0', '2', '3', '12', '5', '0', '0', '1', '10', '7', '14', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '13', '7', '3', '5', '5', '4', '4', '5', '4', '2', '2', '6', '5', '2', '219', '246', '268', '100', '94', '65', '319', '340', '333'
'Austria', 'AUT', '48.12', '83858', '5', '3', '6', '0', '0', '1', '4', '8', '5', '0', '0', '0', '4', '6', '6', '0', '1', '2', '9', '7', '7', '2', '4', '1', '3', '4', '10', '2', '1', '0', '3', '5', '9', '0', '1', '2', '2', '3', '4', '6', '7', '8', '0', '2', '0', '3', '5', '2', '1', '0', '0', '0', '0', '1', '1', '1', '1', '3', '2', '2', '1', '2', '1', '2', '2', '2', '0', '0', '1', '1', '2', '2', '0', '1', '2', '3', '4', '4', '0', '2', '2', '4', '5', '3', '0', '0', '0', '1', '2', '3', '1', '1', '0', '4', '3', '4', '0', '0', '2', '2', '4', '2', '0', '1', '1', '1', '3', '4', '1', '0', '3', '1', '1', '2', '4', '6', '3', '1', '1', '0', '1', '1', '3', '0', '3', '1', '2', '0', '1', '2', '1', '0', '0', '3', '1', '0', '0', '0', '0', '2', '2', '0', '0', '1', '0', '0', '1', '0', '3', '3', '2', '1', '2', '18', '33', '36', '64', '81', '87', '82', '114', '123'
'France', 'FRA', '48.50', '675417', '5', '4', '6', '10', '18', '14', '4', '4', '7', '11', '11', '12', '2', '3', '6', '7', '16', '17', '3', '2', '4', '11', '9', '13', '4', '5', '2', '13', '14', '11', '2', '1', '5', '15', '7', '15', '0', '1', '4', '3', '5', '1', '8', '5', '16', '1', '0', '1', '6', '4', '6', '0', '1', '2', '5', '7', '16', '0', '0', '1', '6', '5', '3', '0', '0', '1', '2', '3', '4', '0', '1', '2', '2', '4', '7', '4', '3', '2', '7', '3', '5', '3', '4', '0', '1', '8', '6', '1', '0', '2', '0', '2', '3', '0', '0', '0', '4', '4', '6', '0', '0', '1', '6', '6', '6', '2', '1', '2', '10', '6', '13', '0', '0', '1', '7', '6', '6', '1', '0', '0', '10', '5', '4', '1', '0', '0', '6', '10', '5', '0', '0', '3', '13', '15', '10', '9', '19', '13', '7', '4', '3', '5', '5', '9', '0', '0', '0', '26', '41', '34', '5', '4', '2', '212', '241', '259', '36', '35', '53', '248', '276', '312'
'Netherlands', 'NED', '52.23', '41526', '8', '6', '6', '8', '7', '4', '8', '7', '9', '6', '6', '8', '4', '1', '3', '7', '5', '4', '3', '2', '4', '4', '9', '9', '3', '5', '0', '12', '9', '4', '5', '4', '2', '4', '5', '10', '0', '1', '3', '1', '1', '2', '2', '6', '7', '3', '2', '2', '2', '2', '5', '0', '0', '0', '5', '2', '6', '1', '2', '1', '0', '1', '2', '1', '2', '3', '0', '2', '3', '4', '3', '2', '3', '1', '1', '3', '3', '3', '3', '3', '1', '1', '1', '0', '2', '4', '4', '0', '1', '1', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '5', '0', '0', '0', '0', '5', '2', '9', '0', '0', '0', '6', '4', '7', '0', '0', '0', '2', '5', '0', '0', '0', '0', '6', '9', '4', '0', '0', '0', '4', '1', '5', '4', '2', '5', '0', '0', '3', '0', '0', '2', '0', '0', '0', '0', '1', '3', '0', '0', '0', '85', '92', '108', '45', '44', '41', '130', '136', '149'
'United States', 'USA', '39.91', '9833520', '9', '8', '6', '46', '37', '38', '9', '7', '12', '46', '29', '29', '9', '15', '13', '36', '38', '36', '9', '9', '7', '35', '39', '27', '10', '13', '11', '37', '24', '33', '6', '3', '4', '44', '32', '25', '6', '5', '2', '5', '4', '2', '37', '34', '37', '2', '1', '3', '36', '31', '27', '4', '4', '0', '83', '61', '30', '6', '4', '2', '0', '0', '0', '3', '3', '4', '34', '35', '25', '3', '2', '3', '33', '31', '30', '1', '5', '1', '45', '28', '34', '1', '2', '4', '36', '26', '28', '3', '4', '3', '34', '21', '16', '2', '3', '2', '32', '25', '17', '4', '6', '1', '40', '19', '17', '3', '4', '2', '38', '27', '19', '1', '0', '3', '24', '20', '12', '6', '4', '2', '41', '32', '30', '2', '2', '2', '22', '18', '16', '1', '2', '1', '45', '27', '27', '41', '27', '27', '25', '19', '19', '23', '12', '12', '78', '82', '79', '19', '14', '14', '11', '7', '2', '1021', '795', '706', '105', '110', '90', '1126', '905', '796'
'Italy', 'ITA', '41.54', '301230', '3', '2', '5', '8', '12', '8', '0', '2', '6', '8', '9', '11', '1', '1', '3', '8', '10', '10', '5', '0', '6', '10', '11', '11', '4', '4', '5', '13', '8', '13', '2', '6', '2', '13', '10', '12', '7', '5', '8', '4', '6', '4', '6', '5', '8', '2', '1', '2', '6', '4', '4', '2', '0', '0', '14', '6', '12', '0', '2', '0', '8', '3', '4', '1', '2', '1', '2', '7', '4', '2', '2', '1', '5', '3', '10', '4', '0', '0', '3', '4', '9', '0', '1', '3', '10', '10', '7', '0', '0', '1', '13', '10', '13', '1', '2', '0', '8', '8', '9', '1', '0', '1', '8', '9', '4', '1', '0', '0', '8', '11', '8', '0', '0', '0', '8', '9', '5', '0', '0', '0', '12', '12', '12', '0', '0', '0', '7', '5', '7', '0', '0', '0', '8', '3', '5', '13', '5', '5', '3', '1', '2', '2', '2', '0', '0', '0', '0', '2', '2', '0', '0', '0', '0', '206', '179', '193', '40', '36', '48', '246', '215', '241'
'Japan', 'JPN', '35.6895', '377835', '4', '5', '4', '12', '8', '21', '1', '4', '3', '7', '14', '17', '0', '3', '2', '9', '6', '10', '1', '0', '0', '16', '9', '12', '0', '1', '1', '5', '8', '5', '5', '1', '4', '3', '6', '5', '1', '2', '2', '1', '2', '4', '3', '8', '11', '0', '0', '1', '4', '3', '7', '0', '1', '0', '10', '8', '14', '0', '1', '0', '0', '0', '0', '0', '0', '0', '9', '6', '10', '1', '1', '1', '13', '8', '8', '0', '0', '0', '11', '7', '7', '0', '0', '0', '16', '5', '8', '0', '0', '0', '4', '7', '7', '0', '1', '0', '4', '10', '5', '0', '0', '0', '1', '6', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '6', '4', '8', '0', '0', '0', '7', '7', '4', '0', '0', '0', '2', '2', '1', '0', '0', '0', '0', '0', '1', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '142', '134', '163', '14', '22', '22', '156', '156', '185'
